obsnme,obsnme,obsval,response,response_org,offset
ucn1_00_006_009_010,ucn1_00_006_009_010,4.1139063950364285e-06,2.1832723857828855e-06,3.3201450801649275e-07,1.8512578777663926e-06
ucn1_00_006_010_010,ucn1_00_006_010_010,2.6757877081401435e-06,1.119619866636272e-06,-8.448460202679254e-08,1.2041044686630645e-06
ucn1_00_006_011_010,ucn1_00_006_011_010,2.2557017868817738e-06,9.114303179770697e-07,-1.0363548611972847e-07,1.0150658040967982e-06
ucn1_00_006_012_010,ucn1_00_006_012_010,2.954878686463622e-06,1.1678248280006972e-06,-1.618705809079326e-07,1.3296954089086298e-06
ucn1_00_006_013_010,ucn1_00_006_013_010,1.3723058114328385e-06,6.203457998743114e-07,2.80818472953404e-09,6.175376151447773e-07
ucn1_00_006_014_010,ucn1_00_006_014_010,3.6042231545866013e-06,1.7330839317933383e-06,1.1118351222936784e-07,1.6219004195639704e-06
ucn1_00_006_015_010,ucn1_00_006_015_010,2.05857163255713e-06,8.809241674405197e-07,-4.543306721018866e-08,9.263572346507084e-07
ucn1_00_006_016_010,ucn1_00_006_016_010,2.3517355503874903e-06,9.848910503330057e-07,-7.338994734136479e-08,1.0582809976743705e-06
ucn1_00_006_017_010,ucn1_00_006_017_010,1.2319874484339587e-06,5.589996389815581e-07,4.605287186276727e-09,5.543943517952813e-07
ucn1_00_006_018_010,ucn1_00_006_018_010,2.933605052382371e-06,1.3040819443355164e-06,-1.6040329236550364e-08,1.3201222735720667e-06
ucn1_00_006_019_010,ucn1_00_006_019_010,2.5980983616115388e-06,1.1707693731992351e-06,1.6251104740428424e-09,1.1691442627251923e-06
ucn1_00_006_020_010,ucn1_00_006_020_010,3.8644100676377235e-06,1.5612401306509002e-06,-1.7774439978607513e-07,1.7389845304369754e-06
ucn1_00_006_021_010,ucn1_00_006_021_010,2.2945098531352414e-06,1.02675993853012e-06,-5.769495380738656e-09,1.0325294339108586e-06
ucn1_00_006_022_010,ucn1_00_006_022_010,2.9386060567615e-06,1.2689265533441735e-06,-5.344617219850133e-08,1.3223727255426748e-06
ucn1_00_006_023_010,ucn1_00_006_023_010,7.240787240919162e-06,3.2877830219079543e-06,2.9428763494331802e-08,3.2583542584136226e-06
ucn1_00_006_024_010,ucn1_00_006_024_010,3.288049151669016e-05,1.4731917393841435e-05,-6.430378866913519e-08,1.479622118251057e-05
ucn1_00_007_000_010,ucn1_00_007_000_010,8.374592761635891e-06,3.826286758155301e-06,5.7720015419150295e-08,3.7685667427361505e-06
ucn1_00_007_001_010,ucn1_00_007_001_010,9.49253585967524e-06,4.289263200540523e-06,1.7622063686665825e-08,4.2716411368538575e-06
ucn1_00_007_002_010,ucn1_00_007_002_010,1.3784016435750351e-06,6.072369141991216e-07,-1.304382540964419e-08,6.202807396087658e-07
ucn1_00_007_003_010,ucn1_00_007_003_010,2.6256490600151915e-06,1.2025487369513888e-06,2.1006659944552676e-08,1.181542077006836e-06
ucn1_00_007_004_010,ucn1_00_007_004_010,3.3065397170682548e-06,1.5983308427522208e-06,1.1038797007150636e-07,1.4879428726807145e-06
ucn1_00_007_005_010,ucn1_00_007_005_010,1.5595256097567391e-06,7.005749049571693e-07,-1.2116194333632293e-09,7.017865243905325e-07
ucn1_00_007_006_010,ucn1_00_007_006_010,2.3205409897466646e-06,9.378717414726505e-07,-1.0637170391334843e-07,1.0442434453859989e-06
ucn1_00_007_007_010,ucn1_00_007_007_010,3.3503903369760427e-06,1.3995477354496944e-06,-1.0812791618952456e-07,1.507675651639219e-06
ucn1_00_007_008_010,ucn1_00_007_008_010,1.8378252049843037e-06,8.406697320014736e-07,1.364838975853702e-08,8.270213422429366e-07
ucn1_00_007_009_010,ucn1_00_007_009_010,2.8599593608216204e-06,1.2892197241192498e-06,2.238011749520612e-09,1.286981712369729e-06
ucn1_00_007_010_010,ucn1_00_007_010_010,2.038655018493268e-06,9.13471653199724e-07,-3.923105122246593e-09,9.173947583219706e-07
ucn1_00_007_011_010,ucn1_00_007_011_010,1.6551770200279664e-06,7.357706952465278e-07,-9.058963766057076e-09,7.448296590125849e-07
ucn1_00_007_012_010,ucn1_00_007_012_010,1.8851024307676087e-06,7.974781187999738e-07,-5.081797504544993e-08,8.482960938454238e-07
ucn1_00_007_013_010,ucn1_00_007_013_010,1.474132942418469e-06,6.795704586892863e-07,1.6210634600975224e-08,6.63359824088311e-07
ucn1_00_007_014_010,ucn1_00_007_014_010,1.5949860243776942e-06,7.203886364678926e-07,2.6449254979303615e-09,7.177437109699623e-07
ucn1_00_007_015_010,ucn1_00_007_015_010,1.621292160181411e-06,7.264171751612395e-07,-3.1642969203952987e-09,7.295814720816348e-07
ucn1_00_007_016_010,ucn1_00_007_016_010,2.710775079263629e-06,1.2670760542771664e-06,4.7227268608533354e-08,1.219848785668633e-06
ucn1_00_007_017_010,ucn1_00_007_017_010,3.885460859845588e-06,1.8432959238905538e-06,9.483853696003955e-08,1.7484573869305143e-06
ucn1_00_007_018_010,ucn1_00_007_018_010,2.672673833522301e-06,1.238807994237822e-06,3.610476915278682e-08,1.2027032250850352e-06
ucn1_00_007_019_010,ucn1_00_007_019_010,2.8371857628113067e-06,1.2753949435934985e-06,-1.3386496715894459e-09,1.2767335932650878e-06
ucn1_00_007_020_010,ucn1_00_007_020_010,3.3812538556109358e-06,1.492963269810654e-06,-2.8600965214267027e-08,1.521564235024921e-06
ucn1_00_007_021_010,ucn1_00_007_021_010,3.5293951268182037e-06,1.5938833984899194e-06,5.655591421727983e-09,1.5882278070681915e-06
ucn1_00_007_022_010,ucn1_00_007_022_010,3.3309180761414423e-06,1.4962465480012613e-06,-2.6665862623876373e-09,1.498913134263649e-06
ucn1_00_007_023_010,ucn1_00_007_023_010,5.810103880405865e-05,2.6103297034989345e-05,-4.217042683704623e-08,2.614546746182639e-05
ucn1_00_007_024_010,ucn1_00_007_024_010,1.9779596163128387e-05,8.889114230574207e-06,-1.1704042833566993e-08,8.900818273407774e-06
ucn1_00_007_025_010,ucn1_00_007_025_010,1.936266306797919e-05,8.705558251370051e-06,-7.640129220584035e-09,8.713198380590636e-06
ucn1_00_008_000_010,ucn1_00_008_000_010,0.0005015290404800214,0.00022569385261653768,5.784400528079877e-09,0.0002256880682160096
ucn1_00_008_001_010,ucn1_00_008_001_010,0.0005007519093078159,0.00022530159871983555,-3.6760468681590965e-08,0.00022533835918851715
ucn1_00_008_002_010,ucn1_00_008_002_010,2.0437811479097093e-06,1.0212858800512348e-06,1.015843634918657e-07,9.197015165593691e-07
ucn1_00_008_003_010,ucn1_00_008_003_010,1.0598477421788677e-06,4.777740471879624e-07,8.425632074720039e-10,4.769314839804904e-07
ucn1_00_008_004_010,ucn1_00_008_004_010,2.278870637458807e-06,1.0264165098229282e-06,9.247229664652087e-10,1.025491786856463e-06
ucn1_00_008_005_010,ucn1_00_008_005_010,1.5027539466865143e-06,6.770656728054791e-07,8.263967965477491e-10,6.762392760089314e-07
ucn1_00_008_006_010,ucn1_00_008_006_010,2.146811961894951e-06,9.666581608378274e-07,5.927779850997524e-10,9.660653828527277e-07
ucn1_00_008_007_010,ucn1_00_008_007_010,1.2970396715586564e-06,5.866814614820365e-07,3.0136092806412606e-09,5.836678522013953e-07
ucn1_00_008_008_010,ucn1_00_008_008_010,2.0155941194228776e-06,9.064286558059826e-07,-5.886979343121872e-10,9.070173537402948e-07
ucn1_00_008_009_010,ucn1_00_008_009_010,2.29428235840768e-06,9.39434912659649e-07,-9.299214862380678e-08,1.0324270612834558e-06
ucn1_00_008_010_010,ucn1_00_008_010_010,2.3299334253079638e-06,1.0933941825172755e-06,4.492414112869175e-08,1.0484700413885836e-06
ucn1_00_008_011_010,ucn1_00_008_011_010,2.139349257626844e-06,1.0398518138223434e-06,7.71446478902638e-08,9.627071659320797e-07
ucn1_00_008_012_010,ucn1_00_008_012_010,2.532531323686845e-06,1.232226701077827e-06,9.258760541874694e-08,1.1396390956590803e-06
ucn1_00_008_013_010,ucn1_00_008_013_010,1.5156231606098562e-06,6.796777261884226e-07,-2.352696086012607e-09,6.820304222744352e-07
ucn1_00_008_014_010,ucn1_00_008_014_010,3.4357049351760086e-06,1.699346194431419e-06,1.5327897360221521e-07,1.5460672208292038e-06
ucn1_00_008_015_010,ucn1_00_008_015_010,1.8969600446845982e-06,8.592579076071983e-07,5.625887499129229e-09,8.536320201080691e-07
ucn1_00_008_016_010,ucn1_00_008_016_010,1.9158378838937094e-06,8.655353220659008e-07,3.4082743137316262e-09,8.621270477521691e-07
ucn1_00_008_017_010,ucn1_00_008_017_010,2.3672667088843512e-06,1.0047111550497484e-06,-6.055886394820956e-08,1.065270018997958e-06
