obsnme,obsval
ucn1_00_018_027_010,0.0037148274318626953
ucn1_00_018_028_010,0.002895528372914103
ucn1_00_018_029_010,0.0009263296885020272
ucn1_00_018_030_010,0.0011592167984933327
ucn1_00_018_031_010,0.001653541163873099
ucn1_00_018_032_010,0.00244603645423331
ucn1_00_018_033_010,7.10007229144527e-05
ucn1_00_019_006_010,0.0021856064097275393
ucn1_00_019_007_010,0.011808477086064202
ucn1_00_019_008_010,0.00313432122647318
ucn1_00_019_010_010,4.204863573794259e-09
ucn1_00_019_011_010,5.545219837016051e-08
ucn1_00_019_012_010,0.006517531024715064
ucn1_00_019_013_010,0.0037400755420937044
ucn1_00_019_014_010,0.0076714386171784135
ucn1_00_019_015_010,0.007899367822684834
ucn1_00_019_016_010,0.007065750388775582
ucn1_00_019_017_010,0.0049752828221226505
ucn1_00_019_018_010,0.003743480998509987
ucn1_00_019_019_010,0.0009448465065649533
ucn1_00_019_020_010,0.004469049442530286
ucn1_00_019_021_010,0.004149600677310168
ucn1_00_019_022_010,0.004868951367719692
ucn1_00_019_023_010,0.0038913409024880084
ucn1_00_019_024_010,0.004699188441841199
ucn1_00_019_025_010,0.0042407671953817285
ucn1_00_019_026_010,0.0037103905150808413
ucn1_00_019_027_010,0.003900433515053084
ucn1_00_019_028_010,0.0009758056637515236
ucn1_00_019_029_010,0.002978585046853815
ucn1_00_019_030_010,0.0032941970751921494
ucn1_00_019_031_010,0.003641732528983298
ucn1_00_019_032_010,0.002962159468926066
ucn1_00_020_011_010,0.0044446491450487536
ucn1_00_020_012_010,0.005144087975150456
ucn1_00_020_013_010,0.00770189491740851
ucn1_00_020_014_010,0.007629433274001846
ucn1_00_020_015_010,0.007868121451271876
ucn1_00_020_016_010,0.00761337280195246
ucn1_00_020_017_010,0.007065951197528753
ucn1_00_020_018_010,0.0026396565167223305
ucn1_00_020_019_010,0.0003575757659554862
ucn1_00_020_020_010,0.0039246057116618825
ucn1_00_020_021_010,0.004152123115474304
ucn1_00_020_022_010,0.004447006296510012
ucn1_00_020_023_010,0.005075256859665812
ucn1_00_020_024_010,0.004822739553985138
ucn1_00_020_025_010,0.004770486877764132
ucn1_00_020_026_010,0.0038726897721878015
ucn1_00_020_027_010,0.0036110388160828393
ucn1_00_020_028_010,0.0009070304311983924
ucn1_00_020_029_010,0.002702279040697685
ucn1_00_020_030_010,0.003413751713951221
ucn1_00_020_031_010,0.0031223756022772413
ucn1_00_020_032_010,0.0028076990091495365
ucn1_00_021_010_010,0.002319361687719403
ucn1_00_021_011_010,0.006960482367255005
ucn1_00_021_012_010,0.006895977315429815
ucn1_00_021_013_010,0.007102313343193102
ucn1_00_021_014_010,0.008183494804077748
ucn1_00_021_015_010,0.00849183960631229
ucn1_00_021_016_010,0.007692836980503215
ucn1_00_021_017_010,0.007950114592473535
ucn1_00_021_018_010,0.0046370883492155525
ucn1_00_021_019_010,0.0019607150308876696
ucn1_00_021_020_010,0.0005878168800635185
ucn1_00_021_021_010,0.000828378487430048
ucn1_00_021_022_010,0.004286588827965089
ucn1_00_021_023_010,0.004842147991264299
ucn1_00_021_024_010,0.004922693413115005
ucn1_00_021_025_010,0.004847400755449594
ucn1_00_021_026_010,0.0050907918822554726
ucn1_00_021_027_010,0.004863873202072387
ucn1_00_021_028_010,0.0013691991367509428
ucn1_00_021_029_010,0.0010563333771673586
ucn1_00_021_030_010,0.0012474041886714289
ucn1_00_021_031_010,0.0032799851902571096
ucn1_00_021_032_010,0.0035042497176371035
ucn1_00_022_010_010,0.008243373365236974
ucn1_00_022_011_010,0.004894668819900108
ucn1_00_022_012_010,0.009009710480969246
ucn1_00_022_013_010,0.007777760025981564
ucn1_00_022_014_010,0.009294752581048043
ucn1_00_022_015_010,0.013814608895399448
ucn1_00_022_016_010,0.008084396443449696
ucn1_00_022_017_010,0.008580191540216879
ucn1_00_022_018_010,0.006266306722263381
ucn1_00_022_019_010,0.00402600885986377
ucn1_00_022_020_010,0.000714677124937293
ucn1_00_022_021_010,0.0013992829572940827
ucn1_00_022_022_010,0.0010682320805891843
ucn1_00_022_023_010,0.004096617419189419
ucn1_00_022_024_010,0.0038767158653990087
ucn1_00_022_025_010,0.004683384165408871
ucn1_00_022_026_010,0.0049349613064652124
ucn1_00_022_027_010,0.0053969434837801665
ucn1_00_022_028_010,0.004402610623152602
ucn1_00_022_029_010,0.002392596439132565
